epoch,loss,accuracy,f1,auc,lr
1,0.6564176769128868,0.6853932584269663,0.6661158011237982,0.9373915584255352,0.000996057350657239
2,0.22370830856795823,0.8853932584269663,0.8838391566033647,0.9848971709047383,0.0009842915805643156
3,0.13159685003172075,0.8808988764044944,0.8734970675369127,0.9884754390993662,0.0009648882429441257
4,0.12275424576364458,0.8539325842696629,0.8549141696280943,0.9757699168545914,0.0009381533400219318
5,0.09371711385236788,0.8808988764044944,0.8853502062763638,0.9838856124568356,0.0009045084971874737
6,0.07356033909517075,0.8741573033707866,0.8743007070065939,0.9833682014960088,0.0008644843137107057
7,0.042007473355624825,0.8808988764044944,0.8751824392134344,0.9832260018960028,0.0008187119948743449
8,0.04910137017265827,0.8853932584269663,0.8888160578147921,0.9847370160719084,0.0007679133974894983
9,0.0253927902012947,0.9213483146067416,0.9186234644656984,0.9944222978662886,0.0007128896457825364
10,0.022972711530071268,0.9056179775280899,0.9114745527840766,0.9886720198475372,0.0006545084971874737
11,0.012796876034242035,0.9280898876404494,0.9261959448697696,0.987323500382167,0.0005936906572928624
12,0.01773922884863818,0.9123595505617977,0.9140494970560965,0.9904394351389334,0.0005313952597646568
13,0.009153139827373837,0.9123595505617977,0.9100989548476889,0.9918322672433376,0.0004686047402353433
14,0.012085043783242457,0.9101123595505618,0.9090560759994724,0.9903994017056352,0.0004063093427071377
15,0.007123889620808248,0.9235955056179775,0.9242556659027248,0.9914666269879367,0.00034549150281252644
16,0.003525400251679197,0.9438202247191011,0.9398015153058381,0.9914014021156369,0.00028711035421746366
17,0.0014037153307851571,0.9348314606741573,0.9328050097306464,0.9920712099121065,0.00023208660251050156
18,0.0009482652207160365,0.9415730337078652,0.9402575315840622,0.993416749910188,0.00018128800512565513
19,0.0018800824509526137,0.946067415730337,0.943688117384877,0.9929344968587108,0.00013551568628929433
20,0.0006555005550775864,0.9438202247191011,0.9429589434669484,0.9932015429211694,9.549150281252633e-05
21,0.0008013941757261429,0.9348314606741573,0.9330990485618434,0.9929682723979036,6.184665997806821e-05
22,0.0005600300956497709,0.9415730337078652,0.9388783506236139,0.9927107719449622,3.5111757055874326e-05
23,0.0004938697349449025,0.9303370786516854,0.9299643008752956,0.9929448046793515,1.5708419435684518e-05
24,0.0006268227073503242,0.9415730337078652,0.9391953072723919,0.9926776237993297,3.942649342761117e-06
25,0.0007530344528601875,0.9370786516853933,0.9362786211794709,0.9931714126737863,0.001
26,0.044869517497188226,0.8247191011235955,0.8242066593324668,0.9700252903751473,0.0009990133642141358
27,0.13765467319587646,0.851685393258427,0.8448362073764569,0.9682886272590354,0.000996057350657239
28,0.1309364436726485,0.8898876404494382,0.8877227462737263,0.978969027290568,0.0009911436253643444
29,0.08197014136489347,0.8764044943820225,0.8811896805484591,0.9829598548232086,0.0009842915805643156
