run,algo,round,alpha,num_clients,seed,mu,accuracy,f1,auc,time
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,1,1.0,5,42,0.5,0.43177749499682677,0.13092471817632279,0.6611817055935021,3.2071640491485596
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,2,1.0,5,42,0.5,0.5578763734106158,0.41557934281195125,0.8724066127246575,3.4330639839172363
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,3,1.0,5,42,0.5,0.7091556645727521,0.6480275332461762,0.9625356326505905,3.138468027114868
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,4,1.0,5,42,0.5,0.8758975827602329,0.8616110427490234,0.9865915019308478,3.4646711349487305
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,5,1.0,5,42,0.5,0.9165854435082796,0.9008230901425515,0.9930168512395593,3.2914698123931885
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,6,1.0,5,42,0.5,0.9253715421767265,0.8992039165537271,0.9923728055470746,3.226794958114624
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,7,1.0,5,42,0.5,0.9378901829816664,0.9235563423762994,0.993929690851099,3.1714627742767334
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,8,1.0,5,42,0.5,0.9513200322895744,0.9453454195857629,0.9965198337915135,3.087672233581543
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,9,1.0,5,42,0.5,0.9437506736258353,0.9281753623355765,0.9956176749389505,3.1356821060180664
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,10,1.0,5,42,0.5,0.9358227543778931,0.9200501381238443,0.9958903224063015,3.2014100551605225
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,11,1.0,5,42,0.5,0.9460628123541589,0.9342246639549658,0.9962369932134842,3.231703042984009
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,12,1.0,5,42,0.5,0.9436705298024757,0.9284330184680133,0.9968016258173424,3.168891191482544
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,13,1.0,5,42,0.5,0.9458906487887973,0.9350986776998729,0.9966301902989377,3.167145013809204
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,14,1.0,5,42,0.5,0.9389195205987587,0.9312155705861883,0.9960937150301674,3.037271022796631
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,15,1.0,5,42,0.5,0.9429524032652956,0.9304814422462696,0.9962625667533317,3.1910810470581055
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,16,1.0,5,42,0.5,0.9422902288653512,0.9260001729948856,0.996048985017147,3.2482688426971436
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,17,1.0,5,42,0.5,0.9491172693057865,0.9344027486325933,0.9961324146178845,3.083935022354126
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,18,1.0,5,42,0.5,0.9422728728628178,0.9301218755241927,0.9959366308541261,3.1291298866271973
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,19,1.0,5,42,0.5,0.9623728378680528,0.9554406676866953,0.9970885267181375,3.2477869987487793
fedprox_alpha1.0_c5_mu0.5_seed42,fedprox,20,1.0,5,42,0.5,0.9472329644351568,0.9348832650202704,0.9968899099947988,3.1810009479522705
