run,algo,round,alpha,num_clients,seed,alpha_inner,accuracy,f1,auc,time,dropout
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,1,0.1,10,42,0.0005,0.3823603876185956,0.2794701104605111,0.0,9.686267852783203,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,2,0.1,10,42,0.0005,0.5192890671686842,0.4176759931351507,0.0,11.942112684249878,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,3,0.1,10,42,0.0005,0.5449110748871351,0.48286052484906633,0.0,16.740742921829224,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,4,0.1,10,42,0.0005,0.47221397050398417,0.4183557893423888,0.0,20.434638023376465,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,5,0.1,10,42,0.0005,0.48772368525275506,0.44630726311531516,0.0,15.158055782318115,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,6,0.1,10,42,0.0005,0.5477983475418495,0.4588670581501219,0.0,16.897319078445435,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,7,0.1,10,42,0.0005,0.4844154991641312,0.4249006958795464,0.0,16.099682092666626,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,8,0.1,10,42,0.0005,0.495626574439844,0.4475500738032946,0.0,15.77860403060913,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,9,0.1,10,42,0.0005,0.5362912576575368,0.4819759120032424,0.0,16.532649040222168,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,10,0.1,10,42,0.0005,0.5264142540305331,0.5054412161741033,0.0,14.187411308288574,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,11,0.1,10,42,0.0005,0.5059685648348439,0.4796162359343364,0.0,15.50411605834961,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,12,0.1,10,42,0.0005,0.5664617122807957,0.5022502908770312,0.0,17.988463878631592,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,13,0.1,10,42,0.0005,0.4865814638300958,0.45205385518719565,0.0,19.650604248046875,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,14,0.1,10,42,0.0005,0.4933151154423384,0.43884371751366924,0.0,17.723578214645386,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,15,0.1,10,42,0.0005,0.463569897068529,0.4313593383127904,0.0,16.2026047706604,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,16,0.1,10,42,0.0005,0.5297853879249228,0.49136770166669735,0.0,19.013007879257202,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,17,0.1,10,42,0.0005,0.5029684055846847,0.47362363289186415,0.0,17.313577890396118,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,18,0.1,10,42,0.0005,0.5679353941323846,0.458712416569628,0.0,15.901266098022461,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,19,0.1,10,42,0.0005,0.5930755997616463,0.47663282118764705,0.0,16.364964723587036,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,20,0.1,10,42,0.0005,0.8685419884547791,0.7351760068188181,0.0,16.8908269405365,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,21,0.1,10,42,0.0005,0.5118954332617123,0.467299796478692,0.0,20.059674978256226,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,22,0.1,10,42,0.0005,0.8228958529745123,0.6814543517484692,0.0,19.574458122253418,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,23,0.1,10,42,0.0005,0.49982386494014397,0.47018060841610315,0.0,17.659162998199463,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,24,0.1,10,42,0.0005,0.6089750483645833,0.558650211681778,0.0,22.545615196228027,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,25,0.1,10,42,0.0005,0.46480725088796226,0.409511422579928,0.0,18.795433282852173,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,26,0.1,10,42,0.0005,0.8175318950028252,0.6743639293427204,0.0,20.625802040100098,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,27,0.1,10,42,0.0005,0.5221430619686435,0.48944535635712105,0.0,19.2143611907959,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,28,0.1,10,42,0.0005,0.5904302293837178,0.4893982162207419,0.0,19.50446319580078,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,29,0.1,10,42,0.0005,0.47730369866997774,0.44498289567757815,0.0,21.919107913970947,0.0
perfedavg_alpha0.1_c10_ai0.0005_seed42,perfedavg,30,0.1,10,42,0.0005,0.681461701810539,0.5756478207513523,0.0,19.108766078948975,0.0
